id,customer_id,store_id,date,value,product_id,product_quantiy
109,113,3,24,2023-08-06 03:24:11,209.4,12292,1
110,127,3,25,2023-08-06 17:43:14,1394.4,8940,4
111,134,3,23,2023-08-06 19:36:23,389.99,12442,2
112,159,4,31,2023-08-06 07:34:39,125.98,2944,2
113,182,3,25,2023-08-06 09:10:53,124.8,13199,4
114,3,3,24,2023-08-07 14:12:36,965.38,9170,1
115,23,2,10,2023-08-07 19:16:41,86.38,480,2
116,27,6,53,2023-08-07 17:26:44,349.95,13155,5
117,38,5,41,2023-08-07 02:48:00,365.62,8310,4
118,39,4,30,2023-08-07 02:35:51,1949.47,12095,3
119,45,5,44,2023-08-07 13:40:40,485.96,3066,4
120,50,7,71,2023-08-07 11:45:19,226.94,10759,3
121,59,2,14,2023-08-07 10:49:52,55.26,12977,1
122,71,1,1,2023-08-07 06:25:59,381.36,12897,3
123,74,5,43,2023-08-07 01:23:42,227.49,14017,4
124,77,1,2,2023-08-07 07:05:56,1527.75,10658,5
125,101,8,76,2023-08-07 07:49:58,251.5,9199,5
126,103,6,55,2023-08-07 12:05:01,308.9,9622,5
127,113,4,30,2023-08-07 20:24:47,1007.97,12937,4
128,122,1,1,2023-08-07 17:10:50,294.81,12092,4
129,136,2,11,2023-08-07 10:26:39,634.47,3337,3
130,148,2,15,2023-08-07 16:47:00,223.2,1471,4
131,164,9,81,2023-08-07 17:21:03,183.58,7516,3
132,170,4,32,2023-08-07 21:47:06,245.68,11363,3
133,172,7,70,2023-08-07 02:54:25,1519.67,13379,4
134,181,1,2,2023-08-07 20:15:53,1256.85,10927,5
135,182,1,1,2023-08-07 17:40:51,92.69,3056,2
136,198,6,55,2023-08-07 22:17:49,289.99,12754,1
137,1,8,76,2023-08-08 01:18:06,118.52,1299,1
138,10,6,52,2023-08-08 22:30:39,848.5,9959,5
139,52,5,41,2023-08-08 15:04:26,257.56,2467,2
140,68,5,43,2023-08-08 16:53:23,46.08,4247,4
141,70,6,57,2023-08-08 09:42:18,74.99,484,1
142,77,6,51,2023-08-08 03:45:43,349.95,7576,5
143,83,2,11,2023-08-08 14:44:57,151.19,40,2
144,86,4,31,2023-08-08 07:39:59,158.76,5225,4
145,90,6,57,2023-08-08 13:10:27,395.95,10693,4
146,104,2,13,2023-08-08 13:13:08,1438.2,2931,2
147,113,1,1,2023-08-08 21:42:10,211.18,8685,2
148,119,3,25,2023-08-08 06:25:21,1738.49,705,3
149,126,4,32,2023-08-08 04:35:05,67.49,288,3
150,133,7,65,2023-08-08 06:05:54,674.97,2377,3
151,140,8,76,2023-08-08 09:18:56,449.79,5956,3
152,160,2,14,2023-08-08 19:12:36,225.0,13167,5
153,162,7,64,2023-08-08 15:56:46,1522.8,5668,4
154,192,5,41,2023-08-08 00:38:10,890.98,4020,2
155,2,3,27,2023-08-09 03:24:51,469.78,7718,3
156,6,1,1,2023-08-09 08:48:37,503.87,9975,4
157,9,4,31,2023-08-09 22:27:43,1293.82,13226,3
158,23,8,76,2023-08-09 14:53:04,935.98,10586,2
159,28,8,76,2023-08-09 15:56:21,1007.92,3757,2
160,43,3,28,2023-08-09 03:57:37,497.5,9019,5
161,44,1,1,2023-08-09 13:23:44,54.26,1531,1
162,67,9,81,2023-08-09 06:19:36,9445.46,4152,5
163,81,4,31,2023-08-09 04:35:33,78.25,14379,2
164,84,4,32,2023-08-09 00:02:56,82.89,6698,5
165,92,8,76,2023-08-09 11:22:06,1249.95,3201,5
166,105,9,82,2023-08-09 10:04:44,233.98,9977,4
167,123,8,76,2023-08-09 23:03:41,160.0,11180,4
168,124,7,69,2023-08-09 20:28:12,264.6,9592,3
169,126,9,84,2023-08-09 13:33:52,44.33,11271,3
170,127,6,56,2023-08-09 15:55:04,167.98,68,2
171,137,9,85,2023-08-09 02:57:01,1564.54,6143,5
172,142,6,52,2023-08-09 04:29:57,79.98,6172,2
173,158,8,76,2023-08-09 19:43:13,539.95,7854,5
174,174,1,1,2023-08-09 04:00:28,284.29,9045,5
175,187,4,31,2023-08-09 08:27:23,123.48,11133,4
176,1,5,42,2023-08-10 06:21:39,861.84,6141,4
177,14,3,26,2023-08-10 17:38:02,611.96,8823,4
178,29,3,23,2023-08-10 03:53:44,239.98,11533,4
179,34,7,70,2023-08-10 19:48:49,861.3,4862,3
180,36,3,25,2023-08-10 10:59:25,220.99,14555,2
181,48,8,76,2023-08-10 04:50:11,29.99,14411,1
182,52,1,2,2023-08-10 17:30:10,64.8,11280,2
183,53,6,56,2023-08-10 20:48:43,399.95,5129,5
184,63,2,15,2023-08-10 01:44:48,106.2,6824,1
185,65,1,1,2023-08-10 01:40:24,38.77,12660,4
186,73,4,30,2023-08-10 07:16:13,404.98,9404,2
187,77,4,31,2023-08-10 01:17:45,596.16,8497,3
188,90,3,24,2023-08-10 03:16:33,1438.2,1673,2
189,96,9,81,2023-08-10 05:58:10,1292.76,8064,4
190,128,7,69,2023-08-10 21:28:05,72.89,9086,1
191,135,1,2,2023-08-10 20:06:25,482.56,12916,3
192,140,7,69,2023-08-10 20:41:55,768.19,8205,5
193,147,1,2,2023-08-10 03:54:36,4306.68,4378,4
194,149,9,84,2023-08-10 23:45:50,80.97,14372,3
195,151,2,13,2023-08-10 12:46:58,197.98,2982,2
196,155,7,65,2023-08-10 10:15:11,219.56,7405,4
197,157,8,76,2023-08-10 04:58:24,194.99,14451,3
198,186,4,32,2023-08-10 19:41:13,329.76,348,2
199,191,8,76,2023-08-10 13:35:16,128.99,11086,1
200,1,8,76,2023-08-11 14:32:13,1636.0,1444,4
201,14,6,55,2023-08-11 13:35:22,999.95,603,5
202,17,9,85,2023-08-11 18:35:40,515.75,6768,5
203,49,7,67,2023-08-11 05:04:44,3466.76,3573,2
204,65,5,44,2023-08-11 18:01:49,410.37,3830,5
205,66,1,1,2023-08-11 11:11:21,356.38,2159,4
206,73,6,51,2023-08-11 19:34:57,549.99,13730,1
207,78,7,64,2023-08-11 16:41:02,1078.2,10795,2
208,88,9,84,2023-08-11 01:24:37,701.1,10667,1
209,106,4,32,2023-08-11 15:52:19,287.96,11362,4
210,123,1,1,2023-08-11 10:40:51,6294.96,3649,4
211,126,1,2,2023-08-11 15:37:19,28799.98,11331,2
212,141,9,82,2023-08-11 11:50:44,9.14,11270,1
213,176,6,53,2023-08-11 10:44:51,807.96,4390,4
214,183,3,27,2023-08-11 15:42:07,359.94,10002,5
215,184,6,55,2023-08-11 09:34:50,98.0,8284,1
216,191,9,81,2023-08-11 07:09:23,575.97,8593,2
217,196,6,57,2023-08-11 02:38:29,499.95,6864,5
218,5,9,81,2023-08-12 04:51:14,458.97,9948,5
219,15,3,28,2023-08-12 16:38:37,123.48,6185,5
220,16,2,14,2023-08-12 02:22:25,968.22,3359,4
221,23,2,13,2023-08-12 22:54:04,753.05,11848,2
222,38,9,81,2023-08-12 15:30:33,359.98,9056,2
223,49,6,51,2023-08-12 12:43:18,2399.97,7710,3
224,60,3,24,2023-08-12 18:21:47,42.29,12832,2
225,64,1,2,2023-08-12 11:02:31,123.71,2387,5
226,72,7,69,2023-08-12 04:06:37,179.1,7649,1
227,75,4,32,2023-08-12 13:11:17,641.52,4667,1
228,85,2,15,2023-08-12 00:48:38,179.99,12307,1
229,88,4,32,2023-08-12 12:05:16,107.97,3433,5
230,90,9,85,2023-08-12 18:29:12,1133.96,1753,5
231,94,8,76,2023-08-12 16:11:12,49.19,6512,2
232,103,7,65,2023-08-12 10:08:32,1124.77,11336,5
233,123,7,68,2023-08-12 23:46:24,1619.98,11693,2
234,125,5,44,2023-08-12 05:35:21,7975.21,3260,5
235,131,3,25,2023-08-12 11:33:13,19999.96,13259,5
236,134,5,43,2023-08-12 07:18:24,8999.95,8564,5
237,135,6,54,2023-08-12 08:05:27,1264.8,7313,5
238,138,2,13,2023-08-12 10:08:29,1791.85,6893,5
239,141,9,81,2023-08-12 08:26:16,129.49,1984,4
240,144,3,27,2023-08-12 07:28:40,5599.96,3226,5
241,150,3,28,2023-08-12 11:52:54,11999.98,3638,3
242,169,8,76,2023-08-12 04:17:29,773.4,8098,1
243,182,2,12,2023-08-12 04:03:27,24.24,8946,1
244,184,6,52,2023-08-12 13:09:01,3885.6,6629,3
245,190,3,28,2023-08-12 14:37:49,716.38,622,3
246,192,6,56,2023-08-12 08:42:09,3922.0,10340,2
247,33,2,11,2023-08-13 09:58:26,1055.25,7651,5
248,37,1,1,2023-08-13 21:29:29,34.61,7408,1
249,69,7,65,2023-08-13 12:39:33,3887.97,8900,3
250,77,6,58,2023-08-13 01:14:01,1031.96,625,4
251,78,6,55,2023-08-13 09:38:41,3490.0,9918,5
252,81,4,32,2023-08-13 21:37:31,29.17,7174,2
253,82,8,76,2023-08-13 14:06:12,1007.92,3757,2
254,106,9,81,2023-08-13 02:19:06,66.58,964,4
255,120,1,2,2023-08-13 03:21:32,1490.39,5489,2
256,132,2,15,2023-08-13 10:31:49,611.96,4362,4
257,141,1,1,2023-08-13 14:15:44,790.62,14258,4
258,144,8,76,2023-08-13 09:41:42,7980.0,13655,4
259,151,8,76,2023-08-13 21:58:11,999.96,7531,4
260,153,8,76,2023-08-13 06:35:16,7395.45,9571,5
261,155,9,82,2023-08-13 14:58:10,179.99,2184,1
262,162,7,64,2023-08-13 13:59:28,723.91,14489,1
263,188,6,57,2023-08-13 12:20:43,1249.95,12586,5
264,9,2,10,2023-08-14 17:59:19,578.88,9793,4
265,13,9,85,2023-08-14 16:51:13,539.98,5436,2
266,41,2,14,2023-08-14 02:26:45,718.2,12269,2
267,66,1,1,2023-08-14 08:01:05,1574.85,14198,5
268,84,1,2,2023-08-14 19:21:55,7196.4,6747,5
269,98,5,43,2023-08-14 21:23:54,194.39,11881,2
270,136,2,13,2023-08-14 09:00:33,259.16,825,4
271,138,1,2,2023-08-14 11:52:41,755.97,12426,4
272,152,9,83,2023-08-14 14:33:47,127.78,820,2
273,160,7,70,2023-08-14 20:51:35,449.98,259,2
274,5,1,1,2023-08-15 20:08:29,6116.4,12103,5
275,21,1,1,2023-08-15 03:31:50,148.47,1790,3
276,44,4,32,2023-08-15 20:30:45,3529.8,10340,4
277,73,3,27,2023-08-15 10:23:31,4183.16,6283,4
278,82,3,26,2023-08-15 05:03:35,384.99,2534,1
279,89,9,82,2023-08-15 15:12:00,85.47,7044,5
280,91,4,30,2023-08-15 08:44:33,17.99,12156,1
281,101,8,76,2023-08-15 22:30:15,523.95,8232,5
282,108,3,26,2023-08-15 06:11:30,59.95,12205,2
283,113,6,56,2023-08-15 20:11:36,244.01,23,1
284,121,1,1,2023-08-15 21:41:36,1382.85,8542,5
285,125,9,81,2023-08-15 06:28:57,170.98,3213,4
286,139,9,84,2023-08-15 21:33:51,449.98,12586,2
287,143,3,28,2023-08-15 18:45:30,76.99,12227,2
288,161,8,76,2023-08-15 05:43:43,1414.44,7692,3
289,164,2,11,2023-08-15 06:03:50,44.99,13066,1
290,167,3,24,2023-08-15 23:12:57,310.38,10612,2
291,188,7,71,2023-08-15 17:27:46,428.11,11547,3
292,193,5,44,2023-08-15 07:30:49,94.49,6161,3
293,11,1,1,2023-08-16 15:30:23,62.99,126,1
294,12,1,2,2023-08-16 21:34:12,62.66,289,2
295,24,7,66,2023-08-16 15:02:57,215.95,13074,5
296,25,7,66,2023-08-16 08:20:58,118.66,14025,3
297,28,7,66,2023-08-16 02:44:39,6839.95,12100,5
298,34,8,76,2023-08-16 17:23:28,648.06,9976,3
299,42,4,31,2023-08-16 09:54:17,1976.4,7663,5
300,61,1,1,2023-08-16 07:01:31,460.73,6339,2
301,73,6,53,2023-08-16 11:50:50,4230.0,7011,5
302,85,9,85,2023-08-16 07:09:55,48.3,4417,3
303,93,3,26,2023-08-16 20:23:01,745.16,4533,1
304,102,5,41,2023-08-16 17:39:37,662.37,12337,4
305,109,7,70,2023-08-16 12:43:41,269.98,8664,2
306,163,1,2,2023-08-16 05:18:38,382.31,13230,1
307,167,8,76,2023-08-16 05:17:11,39.95,13135,1
308,174,9,82,2023-08-16 10:39:24,907.17,8214,4
309,1,9,83,2023-08-17 08:59:46,98.15,5011,4
310,15,9,85,2023-08-17 09:01:13,323.99,8631,3
311,23,9,85,2023-08-17 03:30:18,898.18,5345,2
312,26,2,14,2023-08-17 08:28:55,228.58,14091,4
313,33,7,64,2023-08-17 06:38:11,53.99,7184,1
314,61,2,12,2023-08-17 17:46:20,323.95,2885,2
315,66,1,2,2023-08-17 06:56:15,3.24,8780,2
316,68,9,82,2023-08-17 16:07:45,1107.0,10848,2
317,79,2,10,2023-08-17 22:01:14,1283.69,14213,4
318,95,3,25,2023-08-17 15:17:19,59.99,11820,2
319,98,9,81,2023-08-17 06:12:06,277.14,7510,2
320,112,6,57,2023-08-17 22:31:06,399.9,3193,5
321,113,8,76,2023-08-17 17:34:26,89.95,12652,5
322,120,9,81,2023-08-17 01:18:42,409.45,10764,5
323,124,9,85,2023-08-17 23:18:40,1795.5,6397,5
324,138,9,83,2023-08-17 18:11:50,3779.97,9167,3
325,139,3,25,2023-08-17 21:17:54,1034.95,9073,5
326,143,1,1,2023-08-17 22:00:26,68.05,4440,1
327,149,5,41,2023-08-17 02:27:23,1701.0,13353,3
328,151,5,43,2023-08-17 21:56:06,4319.97,12111,3
329,161,3,27,2023-08-17 11:18:21,525.6,10241,3
330,174,9,83,2023-08-17 06:28:00,21.75,14374,1
331,6,1,2,2023-08-18 20:14:02,5039.97,6549,5
332,12,1,2,2023-08-18 19:55:22,539.64,4058,5
333,25,9,85,2023-08-18 10:41:01,2015.95,11670,5
334,56,8,76,2023-08-18 08:00:15,539.97,7701,3
335,60,5,41,2023-08-18 07:33:49,905.33,7899,2
336,65,7,68,2023-08-18 03:57:21,135.72,2091,2
337,95,8,76,2023-08-18 00:45:48,5199.84,13905,4
338,100,6,53,2023-08-18 18:36:36,2245.0,13840,5
339,111,9,81,2023-08-18 15:37:30,469.8,7972,3
340,113,4,30,2023-08-18 15:34:04,127.75,7832,1
341,115,9,84,2023-08-18 09:00:40,2159.98,4700,4
342,125,4,31,2023-08-18 19:03:01,1614.6,12057,5
343,136,5,44,2023-08-18 02:45:50,12.41,11451,1
344,144,1,1,2023-08-18 19:33:29,209.45,3354,2
345,148,4,30,2023-08-18 13:20:57,63.71,2419,2
346,160,5,42,2023-08-18 14:07:28,380.39,3417,4
347,172,2,15,2023-08-18 15:37:49,387.88,7819,2
348,174,1,2,2023-08-18 00:31:15,323.98,9743,3
349,195,5,44,2023-08-18 15:35:04,140.99,13951,3
350,3,6,56,2023-08-19 14:52:02,111.0,5152,4
351,8,7,70,2023-08-19 10:01:03,66.6,8368,1
352,10,8,76,2023-08-19 04:47:25,549.98,2605,1
353,16,7,65,2023-08-19 11:24:03,44.98,4778,2
354,24,4,31,2023-08-19 17:18:10,242.97,9096,3
355,26,4,32,2023-08-19 14:52:00,2393.99,6615,2
356,33,7,66,2023-08-19 03:22:42,700.2,12584,2
357,39,7,64,2023-08-19 20:33:36,121.81,3604,2
358,45,5,43,2023-08-19 05:07:35,126.9,7601,5
359,52,5,43,2023-08-19 14:00:49,782.96,2553,4
360,77,4,31,2023-08-19 08:42:23,319.95,13503,5
361,78,6,56,2023-08-19 17:18:10,899.95,4762,5
362,92,6,58,2023-08-19 22:58:43,1100.0,10734,4
363,93,1,1,2023-08-19 21:03:35,307.77,12053,1
364,98,8,76,2023-08-19 22:54:30,729.0,708,1
365,99,2,10,2023-08-19 04:46:54,152.98,10438,2
366,106,9,83,2023-08-19 05:14:14,2241.0,6799,5
367,113,5,43,2023-08-19 08:12:19,62.98,290,2
368,144,5,43,2023-08-19 04:25:14,46.71,5544,1
369,157,2,12,2023-08-19 14:06:32,1781.96,3031,5
370,161,2,15,2023-08-19 04:24:44,42.43,12694,1
371,163,1,1,2023-08-19 21:34:08,62.06,14380,2
372,164,5,43,2023-08-19 03:36:26,929.88,4906,4
373,170,4,30,2023-08-19 03:36:48,467.1,10851,1
374,7,5,43,2023-08-20 20:51:25,853.19,2573,2
375,8,9,84,2023-08-20 06:28:41,971.97,1955,3
376,28,7,70,2023-08-20 22:18:22,62.98,5390,2
377,31,8,76,2023-08-20 11:56:57,2396.64,4611,3
378,32,6,54,2023-08-20 00:33:13,740.0,7227,5
379,38,6,55,2023-08-20 23:19:00,799.92,851,4
380,39,4,31,2023-08-20 00:20:41,111.59,1200,1
381,40,9,83,2023-08-20 22:47:37,485.97,145,5
382,44,6,57,2023-08-20 05:30:30,159.98,3052,2
383,62,9,83,2023-08-20 23:13:53,1745.96,2671,4
384,66,2,11,2023-08-20 07:54:22,2694.57,7280,5
385,68,4,30,2023-08-20 19:02:16,323.98,4358,2
386,71,4,32,2023-08-20 15:45:46,1039.35,6468,5
387,77,6,53,2023-08-20 04:08:41,119.8,13704,4
388,97,4,30,2023-08-20 17:39:16,38.88,5718,1
389,105,3,28,2023-08-20 03:31:30,167.97,2856,4
390,127,8,76,2023-08-20 14:52:53,47.99,6295,1
391,131,4,30,2023-08-20 14:03:30,499.49,8495,3
392,139,8,76,2023-08-20 12:41:31,269.97,122,3
393,154,3,27,2023-08-20 19:00:32,719.52,9406,4
394,157,8,76,2023-08-20 18:37:08,64.95,10024,1
395,158,1,1,2023-08-20 21:44:30,196.2,12777,4
396,166,4,31,2023-08-20 07:20:54,15056.61,12689,4
397,170,3,24,2023-08-20 15:34:56,573.97,7698,5
398,180,2,10,2023-08-20 00:10:09,604.77,2541,4
399,197,5,41,2023-08-20 16:06:36,131.38,1067,2
400,2,2,10,2023-08-21 20:25:45,968.76,6460,4
401,8,8,76,2023-08-21 19:40:17,839.84,1332,4
402,22,3,26,2023-08-21 16:22:38,7645.27,8888,5
403,24,4,32,2023-08-21 02:44:56,485.98,2751,4
404,34,2,10,2023-08-21 13:06:15,809.95,6125,5
405,67,6,57,2023-08-21 16:34:13,179.2,12698,4
406,80,1,2,2023-08-21 02:21:57,83.16,4861,2
407,124,4,32,2023-08-21 18:21:36,1069.08,8494,3
408,138,9,85,2023-08-21 01:20:14,102.56,2252,4
409,149,3,27,2023-08-21 16:28:23,396.8,5284,2
410,153,4,32,2023-08-21 13:14:56,187.18,12124,2
411,159,5,42,2023-08-21 22:06:00,1709.95,2551,5
412,164,9,81,2023-08-21 19:16:34,5471.22,2337,3
413,171,6,57,2023-08-21 05:08:08,1319.96,2742,4
414,175,7,69,2023-08-21 03:25:39,2065.5,12635,5
415,193,4,31,2023-08-21 04:54:51,680.37,4559,3
416,195,5,41,2023-08-21 05:31:57,602.71,14267,4
417,199,2,11,2023-08-21 11:29:00,62.73,9090,1
418,3,1,2,2023-08-22 18:01:24,4301.68,8290,4
419,26,2,13,2023-08-22 20:51:27,7060.5,2470,5
420,29,6,52,2023-08-22 15:50:21,307.8,9550,4
421,48,5,42,2023-08-22 09:39:38,170.1,11098,3
422,50,5,43,2023-08-22 14:53:41,850.47,6340,3
423,69,5,44,2023-08-22 03:50:52,1259.98,268,2
424,74,7,70,2023-08-22 22:13:16,3104.77,36,5
425,77,2,14,2023-08-22 16:07:32,539.96,12501,4
426,82,3,28,2023-08-22 08:12:19,71.34,11178,3
427,94,6,51,2023-08-22 12:18:49,8499.95,2662,5
428,98,5,41,2023-08-22 04:15:27,264.67,10026,4
429,102,9,84,2023-08-22 03:25:12,804.49,6528,4
430,107,9,85,2023-08-22 17:50:46,232.92,4088,5
431,110,8,76,2023-08-22 08:49:03,183.64,14474,2
432,113,5,41,2023-08-22 03:01:23,3974.37,2036,3
433,115,1,1,2023-08-22 22:01:38,1263.17,3719,2
434,120,5,41,2023-08-22 15:59:52,909.71,7938,2
435,131,4,31,2023-08-22 17:16:54,236.25,7512,5
436,134,1,1,2023-08-22 01:17:43,15102.85,10113,5
437,147,7,65,2023-08-22 17:09:38,59.37,13690,3
438,152,1,1,2023-08-22 14:24:11,826.16,6203,3
439,153,5,44,2023-08-22 08:15:10,80.98,7552,2
440,157,4,32,2023-08-22 18:37:35,337.46,322,5
441,161,5,42,2023-08-22 15:26:15,264.33,14189,1
442,178,4,32,2023-08-22 23:31:45,629.27,13985,1
443,187,7,66,2023-08-22 20:23:05,826.2,4905,2
444,4,7,64,2023-08-23 14:43:17,3149.99,13584,1
445,8,7,70,2023-08-23 13:13:21,21.05,3903,1
446,65,2,14,2023-08-23 06:53:36,2551.45,13852,5
447,68,6,57,2023-08-23 21:11:14,1591.96,11058,4
448,69,2,14,2023-08-23 02:45:28,123.27,770,1
449,77,5,43,2023-08-23 12:41:07,1290.6,6521,3
450,98,4,31,2023-08-23 00:06:41,431.99,12627,1
451,109,3,24,2023-08-23 22:13:40,134.98,10763,2
452,113,1,1,2023-08-23 00:35:13,215.23,12967,2
453,116,9,82,2023-08-23 19:38:18,1072.62,7976,4
454,117,5,44,2023-08-23 22:12:47,215.96,14015,4
455,120,8,76,2023-08-23 05:20:02,70.7,1265,1
456,124,1,1,2023-08-23 07:13:57,65.75,13997,5
457,126,4,31,2023-08-23 09:15:24,110.21,7723,5
458,130,6,58,2023-08-23 10:58:29,766.39,4331,3
459,147,5,41,2023-08-23 19:59:47,330.72,3623,5
460,151,9,81,2023-08-23 16:27:13,118.39,14003,4
461,154,5,43,2023-08-23 01:59:03,458.97,13544,3
